scenario_id,fraud_type,risk_level,short_summary,red_flags,correct_action,source,user_rating,risk_level_encoded,fraud_type_encoded
1,insider_trading,high,Employee traded using confidential information before public announcements,"unusual_trading_patterns,access_to_confidential_info","monitor_employee_trades,restrict_access_to_sensitive_data",SEC,5,2,0
2,investment_fraud,high,Investment funds falsely advertised hotel ownership and profit-based distributions to attract investor,"unverifiable_assets,too_good_returns","conduct_due_diligence,verify_asset_ownership",SEC,5,2,1
3,financial_statement_fraud,high,"CEO missaprropriated approximately $3.2 million in corporate fund for personal purchase, and concealed misconduct through false representastions to auditors and misleading disclosure.","lavish_personal_spending,misleading_audit_reports","strengthen_internal_controls,independent_audit_review",SEC,5,2,2
4,investment_fraud,high,Ponzi scheme by selling fake mortgage-backed investments and using new investor funds to pay earlier investors and personal expenses.,"guaranteed_returns,new_investor_funds_paying_old","verify_investment_products,monitor_cashflows",SEC,5,2,1
5,financial_statement_fraud,high,"Manipulated post-hoc drug safety results were presented as official finding, inflating stock before sharp collapse.","inconsistent_trial_data,unusual_stock_spikes","enforce_clinical_data_audits,regulatory_review",SEC,5,2,2
6,contract_fraud,medium,Misuse of investor funds and false statements in contract,"vague_contract_terms,unexplained_fund_use","require_contract_audit,legal_review",SEC,5,1,3
7,contract_fraud,medium,Traded around tweets without disclosure.,"undisclosed_trading_activity,social_media_signals","enforce_disclosure_rules,monitor_social_trading",SEC,5,1,3
8,investment_fraud,high,"Claimed to have AI shopping app, but employees manually processed orders behind the scenes. Raised funds from investors but collapsed under false pretense.","unverifiable_tech_claims,hidden_manual_operations","validate_product_capabilities,investor_tech_audit",SEC,5,2,1
9,financial_statement_fraud,high,Sent fake account statements to investors and used new funds to pay old investors.,"fabricated_reports,new_funds_covering_losses","verify_account_statements,independent_audit",SEC,5,2,2
10,insider_trading,high,Traded shares before FDA decisions on drug approvals.,"trades_before_regulatory_events,access_to_FDA_info","monitor_event-linked_trades,enforce_blackout_periods",SEC,5,2,0
11,cashflow_risk,high,Bolt Mobility abandonded scooters after failing to cover operating costs,"abandoned_assets,unpaid_operating_costs","monitor_operating_expenses,secure_backup_funding",CB Insights,4,2,4
12,cashflow_risk,high,Zeus Living could not susatin property payments as interest rates rose.,"rising_interest_rates,missed_property_payments","hedge_interest_rate_risk,maintain_reserve_funds",CB Insights,4,2,4
13,funding_risk,medium,Argo AI failed to attract new investors despite Ford backing.,"investor_dependency,lack_of_diversified_backers","diversify_investor_base,develop_sustainable_revenue",CB Insights,4,1,5
14,funding_risk,medium,Convoy collapsed after shipping demand fell and VC market contracted.,"market_dependency,vc_funding_contraction","build_resilient_business_model,reduce_capital_dependency",CB Insights,4,1,5
15,financial_statement_fraud,high,"The company misrepresented financial health (lawsuit and unpaid creditors) and mismanagement showed that financial disclosures did not match reality, misleading investors and partners.","unpaid_creditors,misleading_financials","enforce_transparency,independent_audit",CB Insights,4,2,2
16,investment_fraud,high,"All operational control was under CEO only, but CEO got arrested and company assets was confiscated.","concentrated_control,unverified_governance","implement_board_oversight,segregate_duties",CB Insights,4,2,1
17,contract_fraud,medium,"Promised homeowners a sale within 90 days or payout, but pandemic hit and shutdown.","unrealistic_promises,force_majeure_risk","review_contract_terms,include_contingency_clauses",CB Insights,4,1,3
18,financial_statement_fraud,high,"CEO was ousted after possible financial irregularities were uncovered, leads to  bankruptcy filing and asset sale.","irregular_financials,executive_ousting","strengthen_governance,conduct_regular_audits",CB Insights,4,2,2
19,cashflow_risk,high,"Complex logistics, incosistent margins and shut down","complex_operations,inconsistent_margins","streamline_operations,improve_margin_tracking",CB Insights,4,2,4
20,investment_fraud,high,Management had misused capital “in violation of instructions” without permissionusing lenders money.,"unauthorized_capital_use,violation_of_investor_terms","enforce_investor_controls,monitor_capital_flows",CB Insights,4,2,1
21,cashflow_risk,high,"Bookkeeper stole $300K+ from a plastic surgeon, destroyed records to hide theft, also gambling habit revealed.","missing_records,lavish_spending,gambling_activity","enforce_segregation_of_duties,monitor_employee_finances",FinCEN,5,2,4
22,financial_statement_fraud,high,Gas station owner falsified sales/tax records. FinCEN data revealed large cash deposits.,"falsified_tax_records,unusual_cash_deposits","conduct_tax_audits,monitor_cash_transactions",FinCEN,5,2,2
23,contract_fraud,medium,Ex‑president of tech firm ran false billing on drug testing contracts.,"inflated_invoices,unverified_contracts","audit_contracts,verify_vendor_services",FinCEN,5,1,3
24,money_laundering,high,Traffic stop uncovered $16K cash + $53K money orders on drug smuggling case.,"structured_transactions,large_cash_with_money_orders","monitor_structuring_patterns,enhanced_due_diligence",FinCEN,5,2,6
25,financial_statement_fraud,high,"Doctor diverted $3M offshore, underreported $6M income, hidden accounts revealed.","offshore_accounts,underreported_income","enforce_income_reporting,trace_hidden_assets",FinCEN,5,2,2
26,investment_fraud,high,"Fraudulent loans in real estate lending, after irregeular mortgage activity detected.","irregular_mortgage_activity,fake_loans","verify_mortgage_documents,enhance_lending_controls",FinCEN,5,2,1
27,investment_fraud,high,Suspects collected welfare benefits while simultaneously running an undeclared business.,"undeclared_business_activity,benefit_collection",cross-check_business_and_welfare_records,FinCEN,5,2,1
28,identity_fraud,high,"Fraud ring opened accounts with stolen personal info, deposited fictitious checks, pawned jewelry.","fake_IDs,fictitious_checks,linked_accounts","perform_identity_verification,monitor_account_openings",FinCEN,5,2,7
29,contract_fraud,medium,"Exploitation of an elderly individual’s financial accounts, with unauthorized withdrawals.","unusual_account_activity,elderly_victim","monitor_elder_accounts,require_secondary_authorization",FinCEN,5,1,3
30,contract_fraud,medium,A company pretended to have workers’ comp coverage while continuing payroll operations.,"payroll_activity_without_insurance,misrepresentation","verify_insurance_coverage,conduct_employer_audits",FinCEN,5,1,3
31,phishing,high,Founder received an email impersonating a venture capital firm requesting login credentials for a funding portal.,"suspicious_link,credential_request,unknown_sender",verify_sender_and_domain,Synthetic,3,2,8
32,phishing,high,Employee clicked a fake cloud storage link and exposed company financial documents.,"suspicious_link,file_download_request",security_awareness_training,Synthetic,3,2,8
33,invoice_fraud,medium,Supplier invoice contained modified bank account information that redirected payments to fraudsters.,"changed_bank_account,urgent_payment",verify_vendor_details,Synthetic,3,1,9
34,compliance_risk,medium,"Company collected customer data without following privacy regulations, resulting in penalties.","policy_violation,data_mismanagement",establish_compliance_program,Synthetic,3,1,10
35,invoice_fraud,medium,Startup paid a duplicate invoice that appeared identical to a legitimate vendor request.,"duplicate_invoice,payment_pressure",cross_check_invoice_records,Synthetic,3,1,9
36,business_email_compromise,high,Fraudster impersonated the CEO and requested an urgent wire transfer to a foreign account.,"executive_impersonation,urgent_transfer",verify_request_through_secondary_channel,Synthetic,3,2,11
37,business_email_compromise,high,Finance team received an email from a spoofed executive account authorizing a large payment.,"spoofed_email,unusual_payment_request",confirm_executive_approval,Synthetic,3,2,11
38,compliance_risk,medium,Startup failed to maintain required financial records during a regulatory audit.,"missing_records,poor_documentation",improve_record_keeping,Synthetic,3,1,10
39,identity_fraud,high,Fraudster used stolen identification documents to open vendor accounts and receive payments.,"fake_identity,unverified_documents",perform_identity_verification,Synthetic,3,2,7
40,identity_fraud,high,Fake founder profile was created to obtain startup grants and government funding.,"forged_documents,identity_mismatch",validate_applicant_information,Synthetic,3,2,7
41,vendor_fraud,medium,Supplier submitted inflated invoices for services that were never delivered.,"inflated_invoice,missing_proof_of_service",audit_vendor_transactions,Synthetic,3,1,12
42,vendor_fraud,medium,Procurement manager approved contracts with a shell company owned by a relative.,"conflict_of_interest,related_party_transaction",strengthen_procurement_controls,Synthetic,3,1,12
43,contract_fraud,medium,Hidden termination clauses imposed unexpected financial obligations on the startup.,"hidden_clause,complex_contract_terms",legal_review_before_signing,Synthetic,3,1,3
44,contract_fraud,medium,Partnership agreement falsely promised exclusive market rights that did not exist.,"unverifiable_claims,misleading_terms",verify_contractual_claims,Synthetic,3,1,3
45,money_laundering,high,Multiple small transactions were structured to avoid reporting requirements.,"structured_transactions,unusual_patterns",monitor_transaction_activity,Synthetic,3,2,6
46,money_laundering,high,Startup revenue was mixed with illicit funds through a network of shell companies.,"shell_companies,unclear_fund_source",perform_enhanced_due_diligence,Synthetic,3,2,6
47,financial_statement_fraud,high,Management concealed major liabilities from investors during due diligence.,"hidden_liabilities,incomplete_disclosure",improve_financial_transparency,Synthetic,3,2,2
48,funding_risk,medium,Startup relied on a single investor whose withdrawal left the company without operating capital.,"single_funding_source,funding_dependency",diversify_funding_sources,Synthetic,3,1,5
49,financial_statement_fraud,high,Revenue figures were artificially inflated before a fundraising round to attract investors.,"inflated_revenue,false_reporting",conduct_independent_audit,Synthetic,3,2,2
50,cashflow_risk,high,"Rapid expansion increased expenses beyond available cash reserves, forcing layoffs and restructuring.","excessive_spending,negative_cashflow",implement_cashflow_management,Synthetic,3,2,4
51,insider_trading,high,Trading based on confidential or non-public financial information for unfair advantage,"unusual_pre_announcement_trades, access_to_confidential_info, abnormal_profit_spike","implement_trade_surveillance_system, restrict_sensitive_data_access, trigger_compliance_audit",IEEE-CIS,4,2,0
52,investment_fraud,high,Fake or misleading investment schemes with unrealistic returns or manipulated capital flow,"unrealistic_roi_claims, excessive_inflow_from_new_accounts, abnormal_investment_growth","validate_investment_sources, apply_risk_scoring_model, freeze_suspicious_funds",IEEE-CIS,4,2,1
53,financial_statement_fraud,high,Manipulation or misreporting of financial records to distort company performance,"cashflow_reporting_mismatch, inconsistent_financial_records, sudden_balance_adjustments","perform_financial_audit, enforce_reporting_compliance, cross_validate_transactions",IEEE-CIS,4,2,2
54,contract_fraud,medium,Abuse or manipulation of contracts to trigger unauthorized or inflated payments,"duplicate_contract_payments, contract_value_mismatch, irregular_payment_timing","enforce_contract_verification, audit_vendor_contracts, block_invalid_payments",IEEE-CIS,4,1,3
55,invoice_fraud,medium,Fraudulent or duplicated invoices submitted for unauthorized payments,"duplicate_invoice_submission, repeated_billing_patterns, inflated_invoice_amounts","implement_invoice_validation_system, verify_vendor_identity, hold_suspicious_payments",IEEE-CIS,4,1,9
56,phishing,high,Deceptive attempts to steal credentials via fake login pages or messages,"credential_compromise, login_page_anomaly, unusual_session_activity","reset_user_credentials, enforce_mfa_authentication, block_suspicious_sessions",IEEE-CIS,4,2,8
57,business_email_compromise,high,Email spoofing or impersonation to redirect payments fraudulently,"email_domain_mismatch, sudden_payment_instruction_change, impersonation_behavior","verify_email_authenticity, implement_payment_confirmation_protocol, flag_high_risk_transfers",IEEE-CIS,4,2,11
